Timestamp,I feel like the work I did contributed to the project's overall goals,"If I didn't have the answer, someone on the team partnered with me to find it",Within this sprint I was able to work towards my own long term goals,I am able to vocalize when I feel like I might not meet deadlines without fear or punishment/judgement ,Project work did not hurt my ability to maintain a healthy and fulfilling lifestyle,I can sign off and not worry about the things I didn't get done today,"I can honestly share my opinions (whether in retro, refinement, etc.) with respecful conversation instead of conflict",I can provide honest internal feedback with regards to client situations and processes,Leadership respects technical and process choices I make even if something fails
10/17/2023 11:02:54,10,10,8,9,10,10,10,10,10
10/17/2023 11:31:37,8,8,6,10,9,10,9,10,10
10/17/2023 11:39:23,9,10,8,10,10,10,10,10,10
10/17/2023 13:07:00,8,9,8,7,8,7,8,7,8
10/17/2023 20:52:44,9,10,6,10,10,10,9,10,10
10/19/2023 12:45:44,9,8,9,7,10,9,6,8,8
10/19/2023 20:06:07,7,10,8,8,7,8,8,8,9
10/20/2023 9:40:08,8,8,9,7,9,8,9,9,9
10/20/2023 9:51:50,8,8,6,8,5,6,6,7,8
10/20/2023 10:06:05,10,10,5,10,10,10,10,10,10
10/31/2023 11:23:21,10,10,8,10,10,10,5,9,9
10/31/2023 11:25:11,9,10,9,9,10,10,8,9,8
10/31/2023 11:26:39,7,7,6,6,8,5,6,6,5
10/31/2023 12:02:48,6,5,2,2,2,2,1,1,4
10/31/2023 12:08:57,10,10,8,9,10,10,10,10,10
10/31/2023 13:09:07,8,8,8,10,8,7,10,9,9
10/31/2023 13:41:41,9,8,9,10,10,10,10,9,10
10/31/2023 14:49:30,7,8,1,8,10,10,10,9,10
11/2/2023 8:50:32,4,7,4,6,3,4,6,7,5
11/2/2023 9:41:23,8,10,8,8,9,7,9,9,10
11/2/2023 12:54:07,7,9,9,10,9,10,9,9,10
11/3/2023 13:06:19,10,10,6,10,10,10,6,8,8
11/3/2023 13:30:01,8,8,9,10,10,10,8,9,8
11/8/2023 11:01:25,8,8,7,8,7,7,7,7,7
11/15/2023 8:47:26,3,2,1,7,3,1,4,3,7
11/15/2023 8:49:51,8,10,10,10,9,9,10,10,10
11/15/2023 9:02:01,9,8,8,4,6,6,4,4,4
11/15/2023 9:32:38,6,10,5,8,8,7,8,9,9
11/15/2023 13:00:02,6,6,2,2,2,2,2,2,3
11/15/2023 13:42:09,7,9,8,10,8,10,9,9,10
11/15/2023 15:05:05,10,8,8,10,10,10,10,10,10
11/16/2023 10:00:50,8,9,3,7,8,6,5,7,7
11/16/2023 11:50:00,8,9,4,8,10,10,8,7,9
11/17/2023 12:21:12,10,10,8,8,10,10,10,10,10
11/17/2023 12:42:05,7,10,9,7,6,3,8,8,8
11/17/2023 13:05:07,10,7,8,6,8,10,9,7,8
11/30/2023 13:35:39,7,9,10,8,10,10,10,9,10
11/30/2023 13:38:59,8,8,7,8,10,10,10,10,10
11/30/2023 13:58:31,4,8,3,9,10,10,10,8,10
11/30/2023 14:04:08,6,3,2,2,2,2,1,1,2
11/30/2023 14:16:43,3,4,3,9,3,3,7,9,7
11/30/2023 14:59:47,9,10,6,10,10,10,10,10,10
12/1/2023 9:21:58,7,9,8,10,10,10,9,9,10
12/1/2023 14:05:56,8,8,8,9,9,8,8,8,8